seminar_id,region,Seminars
27fd29a3259fb7088f9d8ddd03bdbf70,West,1
283ca0f90fc60181b09cd39ac4358f88,Northeast,1
285f3b241c778f1985dd14e277810fc6,Northeast,2
285f3b241c778f1985dd14e277810fc6,West,2
289e8a9871c7f555d19b6ca1da6075a6,Northeast,1
28ad9983ef502bc836babdcb2f73d80c,West,1
29df8cbf98a49a4b19a7110176b69cb1,Northeast,1
2ac6aec2c92a0fada4e9114af37a9775,West,1
2ade377d93a54914abd567bd87512dbe,Northeast,1
2bd2d7848c1e680826be7abd4f624cf4,Northeast,1
2bd2d7848c1e680826be7abd4f624cf4,South,2
2bd2d7848c1e680826be7abd4f624cf4,West,1
2c9dd148be0a55352acb38d45af04dbd,Midwest,1
2c9dd148be0a55352acb38d45af04dbd,South,2
2d10660a37e1a93735ac6d9723eed89f,Midwest,1
2d10660a37e1a93735ac6d9723eed89f,West,3
2d10660a37e1a93735ac6d9723eed89f,NA,1
2d430deb23e580bc78094ccc4a1c7320,Northeast,5
2d430deb23e580bc78094ccc4a1c7320,West,2
2d68c327f338617536363339906fe31f,Northeast,1
2d6f88792d518d67957f1b67b45f2cc2,South,1
2db856303e7962f79ebbcdfdc030e39e,South,1
2e24f10df28b80262656aa775730eb5f,South,1
2e42eedbce65b2af089716b6b6f8f3b4,Northeast,1
2e4337c294ee9ef67a42c036ae04f6a1,West,1
2e474d1d2c8abb6466a0a76b4325dcfe,South,1
2eb4c7fd63088b78d6f647a83ca08109,Midwest,2
2eb4c7fd63088b78d6f647a83ca08109,West,1
2ec069ffcc4aba1dc6ffd6d886a7754f,South,4
2ec4a2a72b605c8b671a9e2702b608fd,West,1
2f3ebe64f099b2a889b9cece56c15606,West,1
2fb6493509f6b5ac67f99534929e9bb0,West,1
2fbaf8786d529eb1ef2394f300a409a7,West,1
2fe7179c81dd6407aa87ce0f39a74b72,Northeast,1
2fe7179c81dd6407aa87ce0f39a74b72,South,1
2ffb3771866e2dd01d1de55d8c4fd129,Northeast,1
2ffb3771866e2dd01d1de55d8c4fd129,West,2
3118ad6cdcea62700987cf7ad72eb3ac,Northeast,3
3118ad6cdcea62700987cf7ad72eb3ac,South,1
3118ad6cdcea62700987cf7ad72eb3ac,West,2
3118ad6cdcea62700987cf7ad72eb3ac,NA,1
31211f1c9dfcabcb82e4efb92fcf92b2,NA,1
3134318c16b44dca039f44cfb51daaeb,West,2
31e4a8c1a3e6b7471aee29afc4b08ced,West,1
31e7e2afc692fd4259655eda833eecf8,Northeast,1
3204917d70c2e7fcef11a08e02bef9c8,West,1
32f37f76b736ae8a1a6ddd3acc8f6515,Northeast,1
32f37f76b736ae8a1a6ddd3acc8f6515,South,1
33762f6c0a4f87892d7a22c4d72c550e,South,1
341162fc21dc61ad486820e5ac9f35c6,Northeast,1
349244ba3df4bafbe43f6e785d43149a,West,2
34a02585624be085876a3e6642913b96,West,1
3505cc999b65067f16bd0ae94968acf0,Northeast,1
3505cc999b65067f16bd0ae94968acf0,NA,2
35234e9f39e0eaffa88b388495f31a2c,West,1
36269f93917ef0c5e149ae409c76b652,West,2
363716b82259ca29fa889909432a926d,Northeast,2
364a2e365be17d5cac4b5b2f4e701814,South,1
36bf1befb241aafe97807854a1e09662,West,1
36ec73b433edde1cf1fedcafa5683f59,NA,2
37db51cb37ab29b009296d5af9235eb1,Midwest,1
38361895d34c4a9b01773c4c6282ac75,NA,1
38476617f3e1759038393312d7934926,South,1
38c3858fe1f7f422b1e5ae15db9544f6,Midwest,1
38c3858fe1f7f422b1e5ae15db9544f6,Northeast,2
38c3858fe1f7f422b1e5ae15db9544f6,South,3
39891b289bec083ed5eae643f9f1979c,West,1
39891b289bec083ed5eae643f9f1979c,NA,1
39982e403e7cfc3adc27fa2afb29a994,Northeast,2
39ca678ee92a2c7a2c1ec9c4e6ae9d5f,South,2
39ca678ee92a2c7a2c1ec9c4e6ae9d5f,NA,1
39df038c87c15365e5ac35d645e2ce1d,Midwest,1
39f6ba2686112cc05b46ff2dc5d4f13f,South,1
39f6ba2686112cc05b46ff2dc5d4f13f,West,1
3a394151d0c6fdf9b247f36198f5d891,South,1
3a401f292a916339f6461a4b82fd6c21,West,1
3a521e2e585454824ea5931d7b9b2e9b,West,1
3a521e2e585454824ea5931d7b9b2e9b,NA,1
