seminar_id,Seminars
0da2a15f15946523193aa2b180711512,2
0da3b11d1d281c32802b1cf3eec5201a,3
0daafd5138c018e34f15ecebe7f11e54,1
0ddc231a8955e3f4df9071ea5343f303,1
0ddc61fd248831a37448086e0dd50b7c,4
0df1cd91dc93c604c4f6b1c963320b07,1
0df2fedb177b23b48d10d2b960eadf5d,4
0dfbdffb3aa43937a5feed3cca4eb0a2,1
0e031386e95cc8ff2fc3dae76f3ea749,1
0e0cf0c7a4f29c909907e8faa2e4d7a9,1
0e1797caeb21b4f9f2ab376daccef51b,2
0e265453b07bd63a4744ce5f438f6a7e,1
0e414e97acbb5fb848be0d1c7217e03c,1
0e5100ed60dc6c2c48652523a4a98104,1
0e562c7507b7f376d2f9104a15f6c950,1
0e58531fb906e6c32dda73c7e03507c0,1
0e8079059e64da48ba8a288ee0795561,1
0e9de8f675a4c50f696d8a9788908da5,2
0ebd93891f60b1eff94d149a8fdacaa6,1
0ecc80f7184ddc89fecaf159de53249f,3
0ecfb45afb2e9e69cd344f1bc095be2f,1
0ed03a1877d12ececea7716fc1826b6c,1
0ed977a22f5b1734ca5a11f8045898d1,2
0efdca7f5391929a43d7124533459a0b,1
0f02cf58b6ee3155fe8d3103bd5a9e4a,1
0f06202ecb0fb0a47b0ae09b428989ac,3
0f0e1eb82f4b5de7365a395098b2b577,2
0f12180b25be980febee365dd1f3873d,4
0f558884d99d37614d424fdec596e93c,1
0f5875d059c2d7229ec2fce30eecfd27,1
0f7331fdfb5d793ab2d4788a126ca117,4
0f80b8eb879b5dba5f48d23fbbd83b8a,1
0f82707f261290eea7e1345b0bff7eb8,1
0f89ddce4d8a2916013ea38c19ebcef8,1
0fbf28da216a942900f1a5edc5497a01,1
0fce65264b99ac072c127e6dae1e0c9d,1
0ff6ad4335c227e22640d45491c7132c,3
0ff6f6be5a516ca14398d788cc505e07,1
0ffcd6da8561601f22c519835c1a9b49,4
1039047ce345bd79487379745ee76e86,3
106c2ae3e9278879f6d654e23f1085a5,3
107f6144175cc0eb2ee8c34501f0a262,3
1093247ba3b885d7682fdee226c9cbe3,1
1097d2043bbaa4b0d4cd2e275649d777,1
10a12e50fe3912453e80ad613d90a304,2
10b31d6077dfe9b2070ac48f80277413,1
10e5c012c0d702fdb30523ddffc2d2bd,1
110b0698c215f08c5de160d266ab5fd2,2
110c9859f5fe203563e7da81e66c8cc0,2
112ffe90b26eadd808a09b60e648d1e1,1
11459650426721efdfd05cb21df794af,1
114cbc7c5f022d313b27327c148df44c,1
116599d35a0fad4843502ef61d5b24d5,4
1166218d98bd7bf01d15aacfa453d6fa,2
116baa31937e333998172a09bd278f53,1
118b6229ca1a0df2e482eee3bfabd83e,1
119f0abaa8c86513f3e608cda8ab06dc,1
11c44a5b9899167ac0814093f34e3794,2
11e7ffd1f43546cc7eda5eaa453da2c9,1
11ecc6d0e6c20879270515a61208e1fe,3
121288e69a1058cfdaad0aa07805bda5,2
123f72da1d9be801c83999e568b39be9,2
124115f8e683f00b002824a00cfd56d4,1
127274d4c268ef2759be9378ce22c365,1
1289893673f461d32a460d7a129efef4,6
12aed0e2e6f1c7f6cd10ef9fdfb1ab94,1
12c28db073246c7b9dd0fe57959a10c1,1
12d00a22410bf886d599b4131317c9f5,2
12d21f871db91a1b562405594b467a0d,1
12f7186bff54170a3132ff059f2a9788,2
130c5d4918cb2959add966748868ae5e,1
130e376daafcb81d690a1ee817af675f,1
