seminar_id,semester,urm,female,urm_female,region
0c0a7a9c5b6a6e45277fcf4a6c486d59,2016-08-01,1,0,0,NA
2cdb8f688ddc80f8532c06bea4aa07ad,2017-08-01,1,0,0,NA
11c44a5b9899167ac0814093f34e3794,2019-08-01,1,0,0,NA
23096ab16fdf0bc8d5b831ef168da058,2017-08-01,1,0,0,West
71482320d256ada782d0a2d329795c41,2019-08-01,1,1,0,Northeast
3f1e08b79c37061a952adcc1a76e2d6b,2019-08-01,1,0,0,South
3025c342b61472dfe28200d6a954374c,2018-08-01,1,0,0,South
a66c615b71dc78348ba7110fb7c8a408,2019-01-01,1,0,0,South
ed4a0e49a35d21e8d5a19ca54659d906,2016-08-01,1,0,0,South
b81f0f3ffad97aa660fcb1cf093fdf64,2019-08-01,1,1,0,South
a3068df141edf70562a09a5682e54fe6,2014-08-01,1,0,0,Northeast
ed70f1b8c0f2b75af7949ce4329a216b,2016-08-01,1,0,0,Midwest
58b3375dd93b5d3839dd4b7e0f88234c,2018-01-01,1,0,0,South
fbfee1314d1c1f29b365a0b22f3e4aa1,2015-08-01,1,0,0,South
d19a429a0252984d7cb2c0758d04b5b6,2018-08-01,1,0,0,South
5b02c9697649c0b48145796dbc4f21a9,2019-01-01,1,1,0,Northeast
b1890d07ed9296c30fcf91879bd3094f,2017-01-01,1,0,0,Northeast
84151d720521b8bf0e1242cfe7f55fb8,2017-01-01,1,0,0,Northeast
59bdc9b3bf571f7570e5fff05cdf9da1,2018-08-01,1,0,0,Northeast
4ea6cc737555e1f9829439dca00368fb,2015-08-01,1,0,0,Northeast
2434d0f233b18723cf75ae5cbb9147d5,2017-08-01,1,0,0,South
6b5425cead6e95a3822050b7997cbb22,2016-01-01,1,0,0,West
05fd24f6b70160ddf1a3351edc3afe47,2019-08-01,1,1,0,West
c4c740d67f5032959d532306409a93a8,2014-08-01,1,0,0,West
82e4366d468f26b69aee850e126b210c,2015-08-01,1,0,0,West
36bd4cb159bc1cbf49f2c8cf373629e3,2018-01-01,1,0,0,West
7bf4825ea50d88679090f4ee6ad45211,2019-08-01,1,0,0,West
2473e3bcf2893249d1244727aa0123e8,2017-08-01,1,0,0,West
7d144051433a1e0faa3b2efdde4ec56c,2016-01-01,1,0,0,West
cb779b651b5f60720dbc16a494d2921e,2016-01-01,1,0,0,West
f3fb5c52bce2653ba13e074510a6d0c9,2016-08-01,1,1,0,West
6d4405c404d069ddafeceb9c6af6829f,2015-01-01,1,0,0,Northeast
664c5a1f478fed2031802421b2cb5a2b,2015-01-01,1,0,0,NA
5d4adc1b0168d1da0db24f614ea918d4,2018-08-01,1,0,0,NA
084a004d114cca7d553e659deec28804,2017-01-01,1,1,0,NA
e8f3dd918e5153ba3faea13346be309d,2018-08-01,1,0,0,South
79c1610ab1fcf59dbf2b280c6ac6da21,2016-08-01,1,1,0,South
0652178a0c16fcd5527b5d7a55086c6e,2018-01-01,1,1,0,South
31ecac785676baeac60093dd31507224,2014-08-01,1,0,0,South
a16d53aa88e2418ae0a6126787afd83a,2016-01-01,0,0,0,South
0113c7379d40500caedd9134c7630a31,2017-01-01,1,0,0,South
2c547baccb462bbca5a3a590d6e76406,2016-08-01,1,0,0,NA
5fc5775da1dd7dd4a6de1cdac3aa532b,2015-08-01,1,0,0,NA
b76c49040c64239d828a6325e9ec03c9,2015-08-01,1,1,0,NA
5aaf848a69458f3b3f3654b76eb7b61d,2016-01-01,1,0,0,NA
36838f33e618486425e059d52b51e2a4,2018-01-01,1,0,0,NA
ebcaffc23799fb4c88743c9f85563553,2019-08-01,1,0,0,NA
ca8841c3ff3c5f858dff029b8cf981ed,2018-08-01,1,0,0,NA
d7ec1d0ca1f494d58155c1d4d0173020,2019-08-01,1,0,0,NA
aa78bac82e7641ace764f5b35648c99c,2017-01-01,1,0,0,NA
cbe184e86ccfaf2c3d891c758fab9aeb,2015-01-01,1,0,0,NA
c36100b2700481bc776c45b0c478a1b5,2019-01-01,1,0,0,NA
900fc3c0da12243f301407084f2c657a,2015-08-01,1,1,0,NA
ddb1b8d353ddf142b8757a3b22a27b92,2016-01-01,1,0,0,NA
c36100b2700481bc776c45b0c478a1b5,2016-08-01,1,0,0,NA
747a8a22741c8581853ad57a412d450d,2015-08-01,1,0,0,NA
9281cd2db998824e092f81a3f6bc1039,2016-01-01,1,0,0,NA
1f11651ef21a99d0a44f1eff56b4c450,2016-01-01,1,1,0,NA
b5561c8e5b867d3aff2e183e695cfa6d,2018-01-01,1,1,0,NA
b5561c8e5b867d3aff2e183e695cfa6d,2017-01-01,1,1,0,South
a206c81f678ae34b16b890eb11029574,2017-01-01,1,0,0,South
227b63eef5c2294541071b558144041b,2018-01-01,1,0,0,West
85a86c9961514c75d7c701b19a112be6,2016-01-01,1,0,0,West
78d9c9ab836424cb441b6c2d2a77bb24,2015-01-01,1,0,0,West
de0e96112934848a59aec588d5d772a7,2019-08-01,1,0,0,West
9df18ddf3d895a4e7fc5b9e12b2c5cf3,2017-08-01,1,0,0,West
b9f09a8b8d836579210d1c69709044b5,2016-01-01,1,0,0,West
f8c1d8cc36064e538c87ff3df848177c,2015-08-01,1,0,0,West
ecb0721d5ae5ea071ea3c7f0a941865d,2016-08-01,1,0,0,West
e175fdfbfa017d41513223a92f516950,2016-01-01,1,0,0,West
866077d340eefa676c43c46f1090e92c,2015-08-01,1,0,0,West
b02195117fa2461c143fdfdd7ab81dd5,2019-01-01,1,1,0,West
641d330e1c90aee81e8b0828f26fbbc6,2019-01-01,1,0,0,West
aadccd2afc064edfff919537427fe9ac,2016-01-01,1,0,0,West
954b5a8d644bcdb21dfea79d1534a50d,2019-08-01,1,0,0,Midwest
f0fe7621b209b5f7984939d8efb3bd16,2016-08-01,1,0,0,Midwest
55a4d4ec784642d8acb4d7deb9cd7b1c,2019-01-01,1,1,0,Midwest
1ac5d4a9024351aa4390623dff929915,2019-08-01,1,0,0,Midwest
de891cc8e7d53b0865a814af9b102601,2019-01-01,1,0,0,Midwest
3b3bb75f017f7676dbd8730054bd4a08,2019-08-01,1,0,0,Midwest
c93e838cec431dd0ba23fbd91f7ade1f,2018-08-01,1,0,0,Midwest
bf063d1f1539fbe068b824c8bc895ea8,2019-01-01,1,0,0,Midwest
788b2fc55e6f462464c8bf07726b42b3,2019-01-01,1,0,0,Northeast
788b2fc55e6f462464c8bf07726b42b3,2019-01-01,1,0,0,Northeast
d7fe93e9061ad94ecbd41c07f2a9aaac,2016-08-01,1,0,0,Northeast
65717582911caf79efe33f82bf152c38,2016-08-01,1,0,0,Northeast
dba0e453b5f3f3daf0ddf0faec0451c6,2015-01-01,1,0,0,South
f0e22d0aaadaeb351eab3d62d6328a1e,2019-08-01,1,0,0,South
3e1e2df56b938d51211e0472365f24bc,2015-01-01,1,0,0,South
9af0e2b6346396388864d799cf424302,2016-01-01,1,0,0,Midwest
db4df07be05e145f2abd8433fa622aaf,2015-01-01,1,0,0,Midwest
cd1235cae3f4ea165c3228075fe6773a,2018-08-01,1,0,0,South
1ed980d3419936cb7f80bf182def14f4,2015-08-01,1,0,0,Midwest
357b22f0271dcaf527d55b98b856c9b3,2018-01-01,1,0,0,Midwest
7588769a7943230e760d71a4437d6ffb,2019-08-01,1,1,0,Midwest
